seed,n_active,mean_speed,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,total_fail_rate,mu_depth,jain
10000,24,18.1,PPO-L2b,8570.7,81.79,23.65,0.8128,0.1862,0.0,0.1862,1.233,0.5765
10000,24,18.1,SUS+CQI,7296.2,71.76,13.34,0.7858,0.1772,0.0346,0.2119,4.0,0.5988
10000,24,18.1,SUS+Deadline-PF,6332.2,66.39,13.45,0.7555,0.2043,0.0383,0.2426,4.0,0.5718
10000,24,18.1,SUS+PF,6447.1,67.86,13.49,0.7566,0.1945,0.0473,0.2419,4.0,0.5724
10000,24,18.1,SUS+Random,4787.1,56.16,12.54,0.7042,0.2459,0.0467,0.2926,4.0,0.582
10000,24,18.1,SU+CQI,8307.7,79.96,25.37,0.8076,0.1913,0.0,0.1913,1.0,0.5716
10000,24,18.1,SU+Deadline-PF,6211.6,64.95,25.12,0.7628,0.2345,0.0,0.2345,1.0,0.5706
10000,24,18.1,SU+PF,6168.4,67.84,25.23,0.7457,0.2518,0.0,0.2518,1.0,0.566
10000,24,18.1,SU+Random,2832.1,45.47,23.04,0.6226,0.374,0.0,0.374,1.0,0.6062
10001,27,18.0,PPO-L2b,10906.7,93.99,14.11,0.8729,0.1259,0.0,0.1259,2.111,0.7047
10001,27,18.0,SUS+CQI,10753.3,91.72,8.2,0.873,0.1008,0.0241,0.1248,3.996,0.7664
10001,27,18.0,SUS+Deadline-PF,8764.0,79.03,8.04,0.8274,0.1236,0.0478,0.1714,3.999,0.7464
10001,27,18.0,SUS+PF,8799.8,80.93,8.14,0.819,0.1292,0.0494,0.1786,3.997,0.7481
10001,27,18.0,SUS+Random,7746.0,73.74,7.47,0.7943,0.1537,0.0498,0.2035,3.999,0.7607
10001,27,18.0,SU+CQI,8719.3,85.51,19.52,0.7968,0.2021,0.0,0.2021,1.0,0.5624
10001,27,18.0,SU+Deadline-PF,7267.3,67.07,18.21,0.819,0.1779,0.0,0.1779,1.0,0.7543
10001,27,18.0,SU+PF,6226.9,70.32,18.46,0.7337,0.2643,0.0,0.2643,1.0,0.7374
10001,27,18.0,SU+Random,3819.0,54.51,16.49,0.6474,0.349,0.0,0.349,1.0,0.7938
10002,30,17.4,PPO-L2b,11798.7,102.13,13.46,0.8702,0.1287,0.0,0.1287,2.55,0.722
10002,30,17.4,SUS+CQI,11628.4,99.01,9.0,0.8759,0.1028,0.0191,0.1219,3.999,0.7787
10002,30,17.4,SUS+Deadline-PF,9356.2,83.68,9.0,0.8268,0.1276,0.0424,0.17,4.0,0.7432
10002,30,17.4,SUS+PF,9114.7,86.02,9.09,0.8048,0.1526,0.0405,0.1932,4.0,0.7405
10002,30,17.4,SUS+Random,7686.0,74.91,7.96,0.7784,0.1728,0.0465,0.2193,4.0,0.7751
10002,30,17.4,SU+CQI,8384.9,88.4,20.65,0.7634,0.2351,0.0,0.2351,1.0,0.5169
10002,30,17.4,SU+Deadline-PF,7299.4,68.25,19.11,0.8055,0.1905,0.0,0.1905,1.0,0.7519
10002,30,17.4,SU+PF,5950.9,71.55,19.47,0.7089,0.2881,0.0,0.2881,1.0,0.7322
10002,30,17.4,SU+Random,3425.8,56.07,17.16,0.6136,0.3836,0.0,0.3836,1.0,0.795
10003,27,18.7,PPO-L2b,9793.7,87.77,16.41,0.844,0.1538,0.0,0.1538,2.112,0.6581
10003,27,18.7,SUS+CQI,9514.7,84.95,10.54,0.8436,0.1416,0.0126,0.1543,3.998,0.7167
10003,27,18.7,SUS+Deadline-PF,7764.3,74.41,10.5,0.7906,0.1774,0.0293,0.2067,4.0,0.6847
10003,27,18.7,SUS+PF,7851.1,76.97,10.53,0.7883,0.1768,0.0318,0.2086,4.0,0.6881
10003,27,18.7,SUS+Random,5881.1,63.66,9.61,0.7274,0.2376,0.0323,0.2698,4.0,0.7048
10003,27,18.7,SU+CQI,8168.6,82.97,22.2,0.7806,0.2177,0.0,0.2177,1.0,0.5449
10003,27,18.7,SU+Deadline-PF,6401.9,64.57,21.48,0.7722,0.2247,0.0,0.2247,1.0,0.6801
10003,27,18.7,SU+PF,5537.2,67.71,21.82,0.7047,0.294,0.0,0.294,1.0,0.6594
10003,27,18.7,SU+Random,2899.7,50.42,19.45,0.5998,0.3956,0.0,0.3956,1.0,0.7407
10004,32,18.2,PPO-L2b,13671.2,115.39,18.54,0.8864,0.1124,0.0,0.1124,2.523,0.7266
10004,32,18.2,SUS+CQI,14052.3,115.16,13.96,0.9041,0.0844,0.0097,0.0941,3.997,0.7941
10004,32,18.2,SUS+Deadline-PF,13133.0,109.55,14.05,0.8849,0.0963,0.0173,0.1136,3.998,0.7825
10004,32,18.2,SUS+PF,13225.8,111.6,14.06,0.8829,0.0971,0.0189,0.116,3.998,0.791
10004,32,18.2,SUS+Random,10131.8,90.92,13.14,0.8258,0.1494,0.0224,0.1718,4.0,0.7953
10004,32,18.2,SU+CQI,9707.8,98.33,26.21,0.7812,0.217,0.0,0.217,1.0,0.5416
10004,32,18.2,SU+Deadline-PF,8574.4,78.73,24.9,0.819,0.1783,0.0,0.1783,1.0,0.7545
10004,32,18.2,SU+PF,7206.0,82.97,25.3,0.726,0.2713,0.0,0.2713,1.0,0.7285
10004,32,18.2,SU+Random,4486.2,63.95,23.19,0.647,0.349,0.0,0.349,1.0,0.8223
10005,19,16.8,PPO-L2b,9771.7,81.69,24.5,0.9014,0.0979,0.0,0.0979,1.491,0.7477
10005,19,16.8,SUS+CQI,8666.9,71.81,16.04,0.9015,0.0818,0.0161,0.0979,3.928,0.793
10005,19,16.8,SUS+Deadline-PF,8608.5,71.27,15.86,0.9009,0.081,0.017,0.0981,3.945,0.796
10005,19,16.8,SUS+PF,8581.7,71.34,15.89,0.897,0.0843,0.017,0.1013,3.932,0.788
10005,19,16.8,SUS+Random,7939.0,67.38,15.73,0.8783,0.1023,0.0176,0.1199,3.947,0.7821
10005,19,16.8,SU+CQI,9438.7,79.56,27.73,0.8919,0.107,0.0,0.107,1.0,0.7233
10005,19,16.8,SU+Deadline-PF,8712.0,73.02,28.02,0.8963,0.1021,0.0,0.1021,1.0,0.732
10005,19,16.8,SU+PF,8392.0,74.55,27.78,0.863,0.1357,0.0,0.1357,1.0,0.7322
10005,19,16.8,SU+Random,5888.0,56.54,26.51,0.8106,0.1864,0.0,0.1864,1.0,0.794
10006,19,15.4,PPO-L2b,7852.3,70.03,17.68,0.8533,0.1453,0.0,0.1453,1.288,0.6474
10006,19,15.4,SUS+CQI,6524.0,60.24,7.75,0.8189,0.1341,0.0444,0.1784,3.989,0.6873
10006,19,15.4,SUS+Deadline-PF,5919.5,57.63,7.69,0.7917,0.1381,0.0686,0.2067,3.993,0.6633
10006,19,15.4,SUS+PF,5876.1,57.54,7.62,0.7899,0.1361,0.072,0.208,3.994,0.6684
10006,19,15.4,SUS+Random,5295.3,53.17,7.33,0.7725,0.1616,0.0637,0.2253,3.992,0.6672
10006,19,15.4,SU+CQI,8093.0,73.39,19.36,0.8469,0.1518,0.0,0.1518,1.0,0.6349
